index,date,source,text
0,2019-10-21,https://www.tribuneindia.com/news/punjab/flood-hit-farmers-to-get-9k-quintal-wheat-seed/849947.html,"flood-hit farmers to get 9k-quintal wheat seed. jalandhar, october 20  in a major initiative aimed at providing succour to farmers of flood-affected villages in the district, the punjab government will distribute around 9,000 quintals of high-yielding varieties of wheat seeds to food growers free of cost.  dc varinder kumar sharma said the decision had been taken by chief minister capt amarinder singh to extend a helping hand to farmers so that they could sow the crop during the upcoming rabi season. he said in total, 25,000 quintals of wheat seeds would be supplied to farmers in flood-affected villages across the state. he said of this, nearly 9,000 quintals of seeds would be distributed to farmers who had suffered losses during floods in the sutlej.  he said the farmers would be distributed seeds as per their losses ascertained in a special girdawari conducted by revenue officials. “necessary directions have been passed on to the agriculture department to ensure that the relief reaches to farmers in a time-bound manne.”  chief agriculture officer naazar singh said 9,000 quintal of wheat seed was expected to reach jalandhar in the coming week. — tns(adsbygoogle = window.adsbygoogle || []).push({ });"
1,2019-10-16,https://www.tribuneindia.com/news/punjab/debt-relief-likely-for-flood-hit-farmers/847607.html,"debt relief likely for flood-hit farmers. ruchika m khanna tribune news service chandigarh, october 15  the state government is mulling deferment of repayment of crop loans availed by farmers in flood-hit villages of doaba and malwa region by three years.  according to a proposal, farmers in 14 districts (794 villages) of the state, whose standing crops were damaged in the floods that occurred in august, would be able to repay the crop loans that they took in april this year within the next three years. farmers were supposed to deposit the entire loan amount with interest to the banks by end of october.  as much as rs 9,700 crore worth of crop loan was disbursed by cooperative banks in punjab in april to 7.50 lakh farmers. while marginal farmers (having up to 2.5 acres) got rs 57,000 per acre as loan, small farmers (having up to 5 acres) got rs 78,000 per acre as crop loan. large farmers get up to rs 27,000 per acre as crop loan. since a majority of farmers in the flood-ravaged districts are small and marginal farmers, they have suffered huge losses as the floodwaters destroyed their standing crop.(adsbygoogle = window.adsbygoogle || []).push({ });  according to estimates prepared by the revenue department, which conducted a special girdawari to assess the crop losses, paddy worth rs 507 crore on 51,364 hectares, maize on 5,553 hectares and sugarcane on 863 hectares, besides fruits and vegetables on 1,304 on 1,306 hectares was damaged in the floods.  official sources in the government told the tribune that since the rescheduling of the loan had been approved in principle, farmers would be eligible to avail fresh crop loans. “we have decided to speed up the process of deferment of loan instalments so that farmers can avail fresh loans for the next wheat crop and not look at non-institutional sources of finance,” said a senior officer in the cooperation department.  “the process is already on to send the report of special girdawari to the cooperative societies and the district central cooperative banks, who will make a list of total amount whose repayment is to be deferred and loan accounts where the deferment is applicable,” he said."
2,2019-10-14,https://www.tribuneindia.com/news/punjab/no-wheat-seed-disbursal-farmers-livid/846770.html,"no wheat seed disbursal, farmers livid. aparna banerji tribune news service jalandhar, october 13  the free of cost wheat seed disbursal in 13 villages of kapurthala has been hit due to the election code of conduct for the phagwara bypolls. the government’s decision to disburse wheat seed to flood-affected villagers from october 21 (after the phagwara bypolls) has earned them farming community’s ire.  right after the floods, the state government had promised free of cost seeds and fertilisers to farmers. however, the process was stalled due to the elections.  farmers say their fields will be ready for sowing in a week or 10 days and the government should ensure early disbursal of wheat seed keeping in view the bypoll. they said seed disbursal after october 21 will considerably delay wheat sowing putting farmers in the flood-hit areas in a fix.(adsbygoogle = window.adsbygoogle || []).push({ });  paramjit singh from channwindi village said, “the ideal time to sow wheat crop is till october 25. after that it will be too late. the electoral process and other works have taken precedence over farmers’ needs. by the time the government is planning to start seed disbursal, farmers will be forced to make arrangements for wheat seeds and manure/fertilisers on their own. so far only the khalsa aid has given us free manure for the sowing season.” he added that the ngo had begun disbursing free manure and also promised free seeds.  sukhpreet singh from passan kadeem village in sultanpur lodhi said, “farmers need seeds at this time. the provision of seeds after october 21 will be too late and will hit wheat sowing. it is a time-consuming process and neither lists have been made nor any communication made to farmers’ societies regarding provision of seeds. farmers can’t wait that long. when even girdawari hasn’t been received yet, how can we believe the government will provide seeds in a time-bound manner after october 21.”  sarwan singh from baupur village said, “we have raised these demand several times, but to no avail. after incurring huge losses in the foods, farmers will now be forced to shell rs 5,000 to rs 10,000 per acre on wheat sowing.”  ashwini kumar rambani, agricultural officer, kapurthala, said, “due to the code of conduct in place because of the bypolls, the seed disbursal shall be started after the polls. we have sent the demand to the government. the seeds shall readily be distributed among farmers if need be from october 21 in the evening itself after the bypolls. the time formally designated by the government for wheat sowing is from october 21 to november 15. right now it is too early to sow wheat due to the heat.” bypoll derails process to procure paddy  phagwara: though government agencies started paddy purchase in the state on october 7, the procurement has been tardy in phagwara as the official machinery busy with bypoll-related assignments. more than 1.30 lakh bags of paddy are lying in the open. arhtiya association, phagwara, president kulwant pabbi said only one sheller owner had purchased around 10,000 bags of paddy till now. government agencies were purchasing, but not lifting paddy. heaps of paddy are lying  in the open in mandis."
3,2019-10-14,https://www.tribuneindia.com/news/punjab/farmers-in-flood-affected-areas-to-get-free-wheat-seed/846749.html,"farmers in flood-affected areas to get free wheat seed. tribune news service  moga, october 13 the state government will provide high-quality wheat crop seeds to flood-hit farmers in moga, jalandhar, kapurthala, ferozepur, fazilka and other flood-affected districts for the upcoming rabi season. secretary of the agriculture department dr ks pannu and director swattantar kumar airy while confirming this said seeds would be provided through the punjab state seeds corporation. chief minister capt amarinder singh had already asked the punjab state seeds corporation to arrange quality wheat seed for the flood-affected farmers, they said. (adsbygoogle = window.adsbygoogle || []).push({ });as per details available, 30,000 hectares land was affected by the floods. accordingly, 30,000 quintals of wheat seed will be provided by the punjab state seeds corporation in the next few weeks. “the total cost of seed requirement in the state has been estimated at rs 9-crore,” dr pannu said. the quality seed of wheat crop costs around rs 3,000 per quintal. meanwhile, chief agriculture officer, moga, dr balwinder singh, and plant protection officer dr jaswinder singh brar said 7,000 hectares was affected by the floods in the district. on the directions of district magistrate sandeep hans, officials of the agriculture department during a recent survey of flood-affected crops had assured farmers that the government would provide quality wheat seed free of cost to them in the next few weeks. the seed could be sown anytime after october 25, dr brar said. the state government has claimed that the basic motive of this gesture is to extend a helping hand to the flood-affected farmers. the cm has also issued necessary directions to the agriculture department to ensure timely distribution of wheat seed so the flood-affected farmers so that they should not suffer any further losses. "
4,2019-10-11,https://www.tribuneindia.com/news/punjab/business-sinks-in-mandis-of-flood-hit-lohian/845334.html,"business sinks in mandis of flood-hit lohian. aakanksha n bhardwajtribune news servicejalandhar, october 10major singh (62) of gidderpindi village visits the local mandi almost every day. he invariably chooses a quiet corner to sit. owning four acres of land, he made good money last season. but this year, he has nothing to sell, his entire crop having been devoured by floods. “my house damaged too, where else do i have to go? i spend the entire day at the mandi with fellow farmers,” he says. about 2,65,000 bags of paddy had arrived at the gidderpindi mandi last year. this time it is almost nil.  while mandis elsewhere in punjab are thronged by farmers, there is little activity at mandis in the lohian block. not just farmers, commission agents too are in trouble, the latter having made payments in advance to contractors and labourers, who now have nothing to do.  one of the commission agents said during the corresponding period last year, around 35,000 bags had arrived at the gidderpindi mandi. this time the number was just 2,000. at the nahl mandi, compared to the 1,60,000 bags received last year, the commission agents expect less than 50,000. there are a total of seven mandis in the lohian block — gidderpindi, nahl, kang khurd, mehrajwala, kamalpur, turna and lohian.   the tribune team that visited these mandis saw most labourers sitting idle. one of them at the lohian mandi said, “it has been 15 days but we are yet to get work. it will be difficult for us to feed our families in such a scenario.” a commission agent said he had already paid a contractor for hiring 30 labourers. “it now seems only 10 will be required,” he said.(adsbygoogle = window.adsbygoogle || []).push({ });  another worried commission agent, surinder gupta, observed: “last year, 6.5 lakh bags had arrived at the two lohian mandis. this year, we expect 50-60 per cent less.” nowhere to go  my crop destroyed and house damaged, where else can i go? i spend the entire day at the mandi with fellow farmers. major singh"
5,2019-10-10,https://www.tribuneindia.com/news/punjab/no-festive-cheer-flood-hit-areas-grapple-with-gloom/844861.html,"no festive cheer, flood-hit areas grapple with gloom. aakanksha n bhardwaj tribune news service jalandhar, october 9  kala singh (60) from mundi cholian village is embarrassed to admit in front of his granddaughters that this year he won’t be able to buy toys for them this diwali.  “i will borrow money from relatives or friends to at least give them sweets,” says kala singh, whose standing paddy crop on two acres was ruined in the recent floods.  he said earlier after selling the paddy, he was able to provide a festive environment in the house, but it would not be possible this year.(adsbygoogle = window.adsbygoogle || []).push({ });  this is not the plight of kala singh only. most residents of flood-affected villages — mundi cholian, mundi shehrian, gatta mundi kasu and others — are grim. they have lost everything in the deluge. for them, diwali is turning out to be black with no happy faces around, no shops selling colourful gifts and sweets.  out to feed his cattle, sukhdev singh, a septuagenarian, said of his 18 cows, only eight were left. recalling previous years, he spoke about his house, festivals and how he used to give his daughters gifts on the occasion of diwali. he has two acres of land along with two more on lease but the crop has been destroyed.  “every year, i will go out on dashera. this year, i cannot even think of it. i cannot even look at my own house, it is in such a bad condition. i used to call my married daughters and sons-in-law a day before diwali and celebrate the festival together. how can i invite them this time when i do not even have a single penny with me,” he said.  gatta mundi kasu resident gurpreet kaur said everyone was grappling with a plethora of problems that they had forgotten about the festivals. gurpreet said she would always decorate her home with lights and diyas, but now the condition of the house was so awful that she was afraid to live there.  talking about gloom in the festive season, prem singh, lambardar of mundi cholian village, said each year around this time, many shops used to come up in the area which bustled with activity. “this time, sorrow has replaced everything. nobody has money and will to celebrate anything,” he said."
6,2019-10-04,https://www.tribuneindia.com/news/punjab/drone-threat-mustn-t-be-linked-with-gurpurb-cm/842199.html,"drone threat mustn’t be linked with gurpurb: cm. tribune news service new delhi, october 3  chief minister capt amarinder singh today said the state government was fully prepared to counter the resurgence of terror threat from pakistan. he said pakistan drone threat should not be linked to the religious occasion of the 550th birth anniversary celebrations of guru nanak dev.  the two could not be connected, he told reporters here in response to questions during an informal chat. asked about border tension in the light of the recent recovery of two drones reportedly smuggling arms from pakistan into punjab, the chief minister said the issue had nothing to do with kartarpur corridor opening to mark the 550th parkash purb.  asked if the matter was discussed with the prime minister during a meeting today, the cm said he met the pm only to extend an invite for the gurpurb celebrations. the state government was dealing with the matter and was geared to maintain law and order in punjab at any cost, he said, adding, “we will not allow anyone to disturb the state’s peace and harmony.”  pakistan was trying to create disharmony and disturbance in punjab not just through drones, but also through infiltration and narco-terrorism, captain amarinder said. “we will not let that happen, we have no doubt that we are fully equipped to deal with them,” he added.(adsbygoogle = window.adsbygoogle || []).push({ });  in response to another question, the cm said he had asked the iaf and the bsf to heighten alert at the border in view of the discovery of the drone infiltration.  meanwhile, capt amarinder urged the centre to take up cannalisation of the state’s three eastern rivers of the indus water system as a national project. in a proposal to the pm, he suggested construction of high-speed economic corridors on the 985-km-long river embankments, apart from river training works, flood protection measures and lining of internal side-slopes of the sutlej, ravi and beas. "
7,2019-10-03,https://www.tribuneindia.com/news/punjab/capt-meets-modi-proposes-canalisation-of-punjab-s-major-rivers/842061.html,"capt meets modi, proposes canalisation of punjab’s major rivers. tribune news service   new delhi, october 3   punjab chief minister captain amarinder singh on thursday urged the central government to take up canalisation of the state’s three eastern rivers of the indus water system as a national project, to enable conservation of water and enhancement of the region’s economic growth.   in his proposal presented to prime minister narendra modi during a meeting here, the chief minister suggested construction of high-speed economic corridors on 985 km long river embankments, apart from river training works, flood protection measures and lining of internal side-slopes of the sutlej, ravi and beas. the move, capt amarinder said, would help the state enhance its ‘jal shakti’ (water power) to encourage diversification of agriculture, promote quality urbanisation and colonisation, and to speed up industrialisation for better and quicker economic emancipation of our citizens.     complimenting the prime minister on his initiative to provide drinking water to each household in the country, through the creation of the new ministry of jal shakti, and the inception of jal (water) jeevan (life) mission and the “nal se jal” (tap water) scheme, captain amarinder said his government also stands committed to the cause of providing drinking water to its citizens under the initiative ‘har ghar pani, har ghar safai’ (water and sanitation for every household).   the chief minister, while expressing concern over the state’s reduction in ‘jal shakti’ at the time of india’s partition and against during the reorganisation of the state in 1966, pointed out that the three perennial rivers of the sutlej, ravi and beas irrigate only about 27 per cent of the state’s cultivated area, leading to over-exploitation of the ground water. it is apprehended, he further noted, that seven districts of the state will transform into a desert in the near future, with sure signs of poverty revisiting these areas.    underlining the need to increase water productivity through augmentation and strengthening of water management, control and regulation infrastructure, captain amarinder suggested launch of the cannalisation project with the sutlej river, which would require an investment of about rs.4000 crore (us $ 0.7 billion) over a period of 3 to 5 years, exclusive of external incentives such as commercial exploitation of government and private land and waiver of taxes, duties and cesses, as relevant. the task may begin with a feasibility study that may be assigned to techno-economic experts of international repute, he suggested.   the chief minister assured that the state would extend its full cooperation to get the proposal realised in terms of sending a team of officers from the punjab government to engage and discuss the same with the officials of the union ministry of jal shakti.    captain amarinder also underlined the need to harness the river water which was currently flowing into pakistan during the monsoons. pointing out that the three rivers as of now have kutcha (earthen) embankments, measuring 945.24 km; (sutlej 484.12 km, ravi 245.28 km and beas 215.84 km), covering almost over 60 per cent of state’s area, he observed that the 1/3rd of the state’s population living in the riverfront areas was also suffering due to the flooding that occurs during the monsoon period. the canalisation of rivers and development of riverfront areas will expand activities leading to widening of the base of punjab’s economy, diversifying economic activities and sources of livelihood for state’s rapidly growing younger generation, he added."
8,2019-09-28,https://www.tribuneindia.com/news/punjab/no-contamination-in-flood-hit-areas/839260.html,"no contamination in flood-hit areas. aparna banerji tribune news service jalandhar, september 27 the groundwater tests in four of the flood-hit villages show no major contamination. but not taking any chances in 20 other villages, the water supply and sanitation department has pressed 15 potable water tankers into service. mobile testing teams of the department had collected samples from yusufpur darewal, kra ram singh, sabhuwal and manak villages. in other villages, officials fear seepage of polluted chitti bein/sutlej into groundwater through pipes/borewells has caused contamination. the dwss is also distributing pamphlets, urging villagers not to consume water of regular supply. (adsbygoogle = window.adsbygoogle || []).push({ });notably, the initial water samples are only from nine tube wells set up by the dwss at 20 lohian villages. np singh, xen, water supply and sanitation department, jalandhar, said, “the initial samples are only from our department tube wells. these have been taken both directly from tube wells and indirect water supply to homes. all these samples are of 500-600 feet deep water. it is estimated that contamination has affected only the upper strata, especially up to 150-200 feet deep. with contamination ruled out, we have restored their water supply, but not to other villages until we receive reports.” officials of the ppcb too took water samples from 25 villages. reports are awaited, officials said. "
9,2019-09-22,https://www.tribuneindia.com/news/punjab/flood-of-troubles-for-teacherless-schools/836127.html,"flood of troubles for ‘teacherless’ schools. aakanksha n bhardwaj tribune news service jalandhar, september 21  students at government primary school, mehrajwala, in lohian block of the district have been badly affected ever since floods ravaged the area.  for almost the entire month since august 19, when flood waters gushed in, the school remained shut. now that the children have started coming regularly again, the absence of teachers has made it difficult for them to cover the syllabus properly.  a teacher from surrounding schools comes here on deputation on a weekly basis according to a roster. there are 13 students in the school. the situation prevails not just in this school at mehrajwala but also at kamaalpur in the same block where there are 28 students. this school also does not have a teacher. here too, the teachers are deputed on a monthly basis.(adsbygoogle = window.adsbygoogle || []).push({ });  in the lohian block, there are as many as 12 schools where there are no regular teachers. the other ten schools have an education guarantee scheme (egs) volunteer each. officials say the egs volunteers are not considered as teachers and these schools are therefore virtually ‘teacherless’. ett-cleared egs volunteers earn rs 6,000 per month while a non-ett volunteer is paid a meagre amount of rs 3,500.  the ten government primary schools (gps) in lohian without regular teachers are at yusufpur darewal with a strength of 61 students, at mandala with 54 students, kalu mundi with 42 students, gps kutbewal with 20 students besides gps har bhoop singh, gps gatti raipur, gps sardarwala, gps chakk pipli, gps motipur and gps mehmuwal mahla. 27 schools with just one teacher in lohian block  as many as 27 schools in lohian block have a single teacher. sources said due to shortage of teachers in the entire block, it is difficult to spare and depute staff in ‘teacherless’ schools. also, teachers in the area cannot even easily take leave as it then becomes difficult to arrange staff for other schools.  the teachers, who are sent on deputation, said students in both the schools suffer in such a situation. “it is not easy to deal with the students where there are no regular teachers because when teachers keep on shuffling, neither the students nor the teachers develop connectivity. also, it becomes difficult to understand the level of the students, which is why the problem arises,” said a teacher on deputation to one of these schools.  in shahkot-i block too, there are three schools - gps chak chela has 40 students, gps patto khurd has 12 and gps rajewal khurd, where there are no regular teachers.  district education officer (deo) rampal saini said, “the department is aware of the problem. owing to some transfers and promotions in the past, a few blocks in the district have been facing a staff shortage. but after rationalisation and recruitment, the problem will be resolved.”"
