date,source,text
2012-08-09,https://www.dainiktribuneonline.com/2012/08/मानसा-में-बारिश-जलमग्न-हु/,the scene of the bus stand chowk was inundated after the rain in mansa on wednesday.nis budhlada 29 august nis today indra devta came to manasa for the second time and heavy rains submerged the city completely.weather suddenly changed the weather i had a cold but also created problems for the people.while people enjoyed the rain the streets of the city were flooded with water and people left their homes.it was seen pouring water from it it was raining a bit since morning and after noon the entire city was submerged due to rain.the entire city was inundated gyan shahar bus stand chowk rambagh road link road kachhari road cinema road veer nagar mohalla gaushala road hospital road water curves road and jawaharke road the streets and streets of the city remained waterlogged throughout the day.the streets and roads in the lower areas of the city were inundated by rain water.due to the absence of water drainage people faced a lot of difficulty even the vehicles passing through the water stored on the roads were stopped in the middle in many places.the scene of the bus stand chowk was inundated after the rain in mansa on wednesday.nis budhlada 29 august nis today indra devta came to manasa for the second time and heavy rains submerged the city completely.weather suddenly changed the weather i had a cold but also created problems for the people.while people enjoyed the rain the streets of the city were flooded with water and people left their homes.it was seen pouring water from it it was raining a bit since morning and after noon the entire city was submerged due to rain.the entire city was inundated gyan shahar bus stand chowk rambagh road link road kachhari road cinema road veer nagar mohalla gaushala road hospital road water curves road and jawaharke road the streets and streets of the city remained waterlogged throughout the day.the streets and roads in the lower areas of the city were inundated by rain water.due to the absence of water drainage people faced a lot of difficulty even the vehicles passing through the water stored on the roads were stopped in the middle in many places.due to excess water people were also seen attacking the vehicles due to the huge amount of water accumulated on the road including cinema road.shopkeepers had to face two problems due to various problems rain water also entered inside many shops.apart from other areas of hara people of ward number 1 10 and 8 had a lot of trouble because in the absence of water drainage where there is always water on the roads.due to several hours of rain water logging increased further number nine has also received reports of water logging in many houses; on the other hand three wheelers and rickshaw drivers have made a lot of profit due to the rain.while the road drivers have got a lot due to rain reshan was like this was in kachari road and bus stand chowk where people faced lot of difficulties in coming due to accumulation of water besides rambagh road and underbridge water of the city including water in other low areas.due to the problems faced by the people the streets were flooded till late evening due to which the passers got problems.
2010-08-01,https://www.dainiktribuneonline.com/2010/08/बारिश-से-मकान-की-छत-गिरी-सभ/,hoshiarpur july 31 the roof of the house of a poor family collapsed due to heavy rains in nisak village sakrooli last night but the house has been damaged.but the house has been damaged but according to the information the victim ram kishore along with his family was found in the house last night.when the rain came at a high speed around 2 clock in the night suddenly the roof of the house fell.coincidentally the roof of the house fell on the other side.all the members slept inside the house bengal.child escaped but collapsed house had inside the debris of valuables roof.
2010-08-22,https://www.dainiktribuneonline.com/2010/08/%e0%a4%9d%e0%a4%ae%e0%a4%be%e0%a4%9d%e0%a4%ae-%e0%a4%ac%e0%a4%be%e0%a4%b0%e0%a4%bf%e0%a4%b6-%e0%a4%ac%e0%a4%be%e0%a4%a2%e0%a4%bc-%e0%a4%a8%e0%a5%87-%e0%a4%a5%e0%a4%be%e0%a4%ae-%e0%a4%b2%e0%a5%80/,the flood gates of the bhakra dam were opened on saturday after the tribune news service flooded the village bastion.daily tribune / manoj mahajan new delhi chandigarh 21 august heavy rain for the last few hours caused more water to be released from flood dams in the river drains.in northern india life has become a mess in places delhi punjab haryana himachal chandigarh uttarakhand jammu and kashmir and rajasthan and north.the flooding of rain in many places in the country has increased the hardships of people and alerted in many places due to overflowing of bhakra dam increased water flow in sutlej and yamuna increased the vigil in the areas along the river has gone and people have been sent to safe places due to the filling of rain water in many places.in the national capital the problems of the people have increased.the water level in yamuna has crossed the danger mark due to rain .the government has shifted the people living in the low lying areas along the river to safe places.last evening the yamuna water level has crossed the danger mark of 20483 meters.the cm is flowing up people living in some lowlying areas of the eastern part of the capital have been shifted to safe places where the meteorological department has shifted the northwest.heavy rainfall has been predicted in some places during the next twentyfour hours in the state of chandigarh.heavy rains occurred in chandigarh last night causing problems of waterlogging in the lowlying areas causing power failure in many areas and water in many colonies to the squares.but on the knees there was water due to which people had to face a total of 869 mm of rain in the city in the coming hours in haryana.heavy rains are expected in most places in punjab there is a possibility of heavy rains in many places in punjab due to the release of water from barrage in haryana and rain in himachal and shiwaliks hills yamuna tangri markanda rune and begna rivers have no water level.no improvement has been made in flood situation in sonipat and delhi in yamuna necessary preparations have been completed.people living in and around yamuna have been evacuated to safer places.there has been widespread rainfall in haryana 65 mm hisar 35 mm gurgaon 12 mm narnaul 14 mm rohtak 56 mm bhiwani 14 mm kalka 20 mm panchkula in ambala 15 mm morni 15 and many other places received rain and dense cloud cover in the state nangal dam in punjab 604 mm shahpur kandi 296 mm roped 43 mm gurdaspur district received heavy rainfall ranjit sagar dam 584 mm and rl 1700 25 mm rainfall bhuntar 12 mm shimla 259 mm sundernagar 99 mm kalpa 64 mm pandoh 40 mm rampur 132 mm sunni 305 mm kasol 71 mm sujanpur 12 mm.due to heavy rains in uttarakhand the tehri dam has started filling up due to increase in the water level of the rivers the dam has also recorded the highest power generation so far.according to the top official of the tehri hydropower development corporation the water level of this largest artificial reservoir in asia has gone up from 8165 meters and its 820 meter filling limit is coming soon.it should release 200 cusecs of water daily.it has been the release of so much water in the ganges that a flood situation can occur in the plains.
2010-08-01,https://www.dainiktribuneonline.com/2010/08/%e0%a4%9d%e0%a4%ae%e0%a4%be%e0%a4%9d%e0%a4%ae-%e0%a4%ac%e0%a4%b0%e0%a4%b8%e0%a4%be%e0%a4%a4-%e0%a4%b8%e0%a5%87-%e0%a4%9c%e0%a4%a8%e0%a4%9c%e0%a5%80%e0%a4%b5%e0%a4%a8-%e0%a4%b9%e0%a5%81%e0%a4%86/,while the rains in chandigarh on saturday brought relief to the people due to the cold weather there was a lot of trouble for those who came to collect water at various places.daily tribune chandigarh july 31 jhais rains in the city and surrounding areas due to the rains this morning.life was affected due to heavy rains traffic was obstructed due to water filling on many roads of the city and due to this people had to face the problem of jam.the water was so jammed due to the accumulation of water at most of the intersections of the city so that the vehicles of the twowheelers were dragged to the mechanic when the vehicles were stopped in the water while some cars also stopped in the water and saw the jam.there was waterlogging in the lower areas according to the meteorological department officials.heavy rains occurred in some areas of punjab haryana and himachal pradesh today.the temperature has also come down due to this not only this people got relief from the humidity due to rain for many days some 27 mm rainfall was recorded in leichandigarh today.during this rainfall the temperature of the city was reduced by 5 degrees which was 35 degrees celsius yesterday.he was 30 degrees today due to rain the traffic police personnel deployed at every intersection had to spend a lot of time in getting traffic out of traffic.due to the absence of it people were stuck in jam for hours today an ambulance at piccadilly chowk which kept siren for the patient but no one paid attention to it and got stuck in the jam for half an hour after which the said ambulance again at kisan bhawan chowk.if 27 mm of rain got stuck in the jam there would be a situation of waterlogging on the roads then it rained continuously for two days then what would be the condition of the administration and the corporation.according to the meteorological department the sky will be cloudy during the next 24 hours and there is a possibility of heavy rains in one or two places in addition some places in punjab have been warned of heavy rain during the next 48 hours of the department.according to the maximum rainfall recorded in nahan today there was 1622 mm rainfall in nahan although it rained all over north india today.
2010-08-23,https://www.dainiktribuneonline.com/2010/08/घग्गर-में-जल-स्तर-बढऩे-से-क/,sangrur 22 august heavy rain in northern india warning from the meteorological department and the rise of tangri river in haryana has put the farmers in the villages near ghaggar river in danger of flooding again.it has increased because once he has suffered the floods last month and his expenditure of thousands of rupees has come to restore the paddy crop.the water level has reached almost 738 as per the criteria in duri and half an foot of water is rising in an hour from ten o clock in the morning.if the water of the dam is released it can cause massive destruction together hamirgarh bhundarbhaini kadal makord handa kudni ghasuraghat gurunanakpura etc.the land level of the villages is first hit by the water the farmers of the area in view of the possible flood threat strengthening empty bag dams to deal with it and managing installments sought to do.
2010-09-25,https://www.dainiktribuneonline.com/2010/09/%e0%a4%ac%e0%a4%be%e0%a4%a2%e0%a4%bc-%e0%a4%aa%e0%a5%8d%e0%a4%b0%e0%a4%ad%e0%a4%be%e0%a4%b5%e0%a4%bf%e0%a4%a4-%e0%a4%95%e0%a4%bf%e0%a4%b8%e0%a4%be%e0%a4%a8%e0%a5%8b%e0%a4%82-%e0%a4%95%e0%a5%8b-27/,budhlada 24 september s village of floodaffected tehsil sardulgarh bhagwanpur higan ranjitgarh bandran mirpur kala mirpur khurd sardulewala kahanadar lohgarh roorkee ahluwalia heerke chaus mandi sadhu wala sardulgarh baran jhanda khurd tibi hari singh fatehpur and machhohar alias modhunh gorla village budha and tehsils.dc kumar rahu to give compensation to the crops affected by floods.l said that an amount of rs 2 crore 67 lakh 84 thousand 444 has been received by the state government of punjab to give the amount of money once again.the officials will visit the respective villages from 10 am to 5 pm on september 27 and the rest farmers can get compensation amount. 
2011-08-21,https://www.dainiktribuneonline.com/2011/08/40-%e0%a4%b9%e0%a4%9c%e0%a4%be%e0%a4%b0-%e0%a4%8f%e0%a4%95%e0%a4%a1%e0%a4%bc-%e0%a4%ad%e0%a5%82%e0%a4%ae%e0%a4%bf-%e0%a4%ac%e0%a4%be%e0%a4%a2%e0%a4%bc-%e0%a4%95%e0%a5%80-%e0%a4%9a%e0%a4%aa%e0%a5%87/,ravi pathak kapurla tapunuma village in darya beas due to water coming out children trapped in it.kapurthala august 20 the coalition government of the state is on the path of development but in the meantime many villages falling under sultanpur lodhi assembly constituency of finance minister dr upinderjeet kaur.the farmers have been ignored for over four decades due to the floods they have been brought to the brink of ruin.due to the continuous rains flooding the darya beas the manger has disturbed the condition of the farmers and floods in the district have damaged 40 thousand acres of crops with water running up to 8 feet and fresh water level in darya beas from the fresh water level.in order to know it was found that water is flowing above one lakh cusecs in darya beas about 25 thousand acres in dozens of villages including baupur sangra village of darya beas.the land has been in the grip of beas boom; the same crop has been damaged in 15 thousand acres in dozens of villages of begowalanadaladhilwa hyderia beas rapid rise in water level is alarming and indicates continuous release of water from pong dam.the main reason for the flooding of the dariya bayas is that 25 thousand acres of crop area has been destroyed within the sultanpur lodhi mand dhussi dam in flood water since four days. the crop of submerged paddy has been destroyed village chuldha sarpanch buta singh sukhwinder singh chitrapur daljit singh sarpanch channa sher singh said that the crops within dam no 2 which was tied in the year 2000 have taken water tomb.the moment the flood is becoming frightening.the water has knocked in people homes this has scared people so people started taking the goods along with cattle along with migrating from the houses.the camp has been encased at ussi dam flood water is passing over the roads from village baupur to pasan kadim water is visible in the 67 km wide area of the dam towards tarn taran 8 feet in many places along the dam.the high water was seen flowing in the hands of the administration sensing the flood situation.the administration officials including sdm lakhmir singh also used caution to contact the people teams of veterinary department and health department have started marching towards the affected area of mand area including abulance.wayne pasan kadim sarpanch jeet singh balbir singh gurpreet singh jaspal singh naresh kumar etc says that the dam people have maintained amazing work to fill the cracks they said that the temporary dam put up by the people to protect the crop flood water.haali kalan sarpanch kashmir singh ahli khurd sarpanch harbans singh etc says that the flood has damaged the crop of 25 thousand acres of land in dozens of villages; sarpanch salwinder singhsarpanch of village mandpur baupur kuldeep simhanambardar surinder of sangra village singh etc told that the water level of darya beas is constantly increasing and the clouds of danger are hovering over his head.
2011-08-24,https://www.dainiktribuneonline.com/2011/08/%e0%a4%b8%e0%a4%a4%e0%a4%b2%e0%a5%81%e0%a4%9c-%e0%a4%a4%e0%a4%a5%e0%a4%be-%e0%a4%ac%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%b8-%e0%a4%a8%e0%a5%87-%e0%a4%a4%e0%a4%ac%e0%a4%be%e0%a4%b9%e0%a5%80-%e0%a4%ae/,chandigarh aug 23 the water left due to the possibility of flooding from the talks.pong and bhakra dams wreaked havoc in the low and coastal areas of the sutlej and beas rivers in punjab and a boy was washed away in flood waters yesterday evening.in the state of satjul and beas in hundreds of villages has penetrated and the paddy crop has been destroyed in thousands of acres due to cracks in dhusi bandh a chaud of chak patti balu bahadur village of sultanpur lodhi.his old boy girdawar singh swept into the flood waters yesterday and searched his body with great difficulty although the water of the beas river has started receding in the mand area today the water has decreased by one foot.sdm lakhmir singh said that baja of sultanpur lodhi area villagers and laborers are working to bridge the rift in the village work is going on on a war footing; there is a decrease in the water level of the sutlej and beas rivers due to less rainfall in himachal.the manalileh road was blocked due to landslides on rohtang pass hundreds of tourists and local people are stranded near rahni nala border road.organization employees are working to clear the way according to the weather office in haryana during the next twenty four hours.there is a possibility of heavy rains in comparison to the average and some places of rain in punjab and himachal are likely to receive heavy rainfall somewhere in haryana.a warning has been given in dharamshala 44 mm kheri 37 mm jogindernagar 10 mm in chamba saloni nine mm rampur seven mm shimla 05 mm sudarnagar 04 mm guler 14 mm ranjit sagar dam maximum 160 mm shahpur kandi 22 mm kalka 35 mm rain the water level of the dam has increased.this situation has been created in punjab due to release of water in sutlej and beas rivers pong naushara mirathal in beas river and every in dhilwan and sutlej river.water has been released from k and hussainiwala pong today recorded a water level of 138580 feet at bhakra 166891 feet and ranjit sagar dam at 51953 meters. due to lack of rain in the area today it was humid and hot and the minimum temperature was between 26 to 29 degrees stayed.
2013-08-04,https://www.dainiktribuneonline.com/2013/08/%e0%a4%ac%e0%a4%be%e0%a4%a2%e0%a4%bc-%e0%a4%b8%e0%a5%87-%e0%a4%ae%e0%a4%82%e0%a4%a1-%e0%a4%95%e0%a5%8d%e0%a4%b7%e0%a5%87%e0%a4%a4%e0%a5%8d%e0%a4%b0-%e0%a4%95%e0%a5%87-19-%e0%a4%97%e0%a4%be%e0%a4%82/,kapurthala august 4 due to the rains in the nis mountains the water level of darya beas has increased rapidly.in such a situation darya beas in sultanpur lodhi has started hurting the farmers of their adjoining areas due to the temporary floods in the river.the dams have started breaking causing water logging around the villages and dera and allowing people to leave the houses.the kisan sangharsh samiti punjab conservator kanwalpreet singh pannu has demanded from the punjab government that the people of the flood affected area should be taken care of and the crops are protected after visiting the flood affected villages of dariya beas of mandan area of sultanpur lodhi.necessary steps should be taken for this similarly kapurthala leaders paramjit singh baupur and kuldeep singh sangra visited the mand area.the told that crops of about 19 villages in the tapunuma region have been destroyed by submergence village residence related to bhim kadim bandhu kadim mand bandhu kadim akalpur kishanpur ghadka mand karamuwal sille etc.according to this if the administration does not take appropriate steps to further release the water of darya beas then the beas darya can take the form of a rage and bring it to destruction.the water in the water has been destroyed by taking the tomb the water has surrounded the camp and other houses due to which the fear of the people is being found.it is not that the crops of kapurthala and jalandhar districts are wasted due to the lack of proper release of water from the green heads and then the sudden release of water affects the farmers of ferozepur and the surrounding areas of the mand area.due to heavy waterlogging in these areas for many days teacher students are facing many difficulties to go to school.they have to reach the school by boat.they alleged that despite the waterlogging in these villages not a single officer has taken care of the people.
2013-08-06,https://www.dainiktribuneonline.com/2013/08/%e0%a4%ac%e0%a4%be%e0%a4%8a%e0%a4%aa%e0%a5%81%e0%a4%b0-%e0%a4%ae%e0%a5%87%e0%a4%82-%e0%a4%ac%e0%a4%be%e0%a4%a2%e0%a4%bc-%e0%a4%b8%e0%a5%87-%e0%a4%aa%e0%a4%be%e0%a4%82%e0%a4%9a-%e0%a4%b9%e0%a4%9c/,after flooding of fields due to flooding of dariya beas in sultanpur lodhi kapurthala on 6th august despite the decrease in the water level of nis darya beas about 5000 acres of land in about one and a half dozen villages of baupur near the darya waterlogged.the situation seems to have happened due to floods in the river beas but the administration later came into action and the officials of the affected area.on tuesday the administration officials led by sdm kuldeep singh chandi visited the affected villages to know the problems of the people where people put the problems ahead of the administrative officials and let them know that the entire area adjacent to the river beas was flooded.there is water mausoleum and various crops of land of about 19 villages whose strong chances of ruin can be expressed.sdm kuldeep singh chandi told that the administration is fully capable to deal with every situation.he said that the waterlogging has taken place in those areas which were very close to the river.he told that the water level of the river is decreasing so there is no talk of hazards no but still he will keep a thorough watch on the situation and no one will be allowed to face any problem.he told that the village baupu has visited the entire area from su to sangra and got information about the situation.there is no question of danger.on the other hand a large number of affected farmers including farmers struggle committee chief paramjit singh sukhchan singh kulwant singh kuldeep singh dilbag singh avtar singh mall singh shinda told that due to floods in the darya beas the standing donated fodder crops have completely ruined the crops due to which the farmers concerned.they will have to face heavy financial loss.he said that only one government school in the area is surrounded by water every time in such a situation students and teachers have to go to the shelter of gurdwara sahib.the bridge built on the river from the river is also removed in such a situation hundreds of people are cut off from the world.people have to risk their lives to meet the needs and have to go across the river through boats due to heavy shortage of animal fodder they are also facing huge problems.they have demanded from the government that farmers should be compensated properly for the damaged crops.they should be given and support for animal feed and special attention should be paid to the government school to get rid of waterlogging.
