level_0,index,date,source,sentence,topic
895,926,2019-07-15,https://www.tribuneindia.com/news/punjab/use-direct-paddy-seeding-to-save-water-suggests-study/802069.html,"of which, irrigation with the help of 14-lakh tubewells was done on 29.54 lakh hectares while canal water was used on just 11.16 lakh hectares",lives
896,927,2019-07-14,https://www.tribuneindia.com/news/punjab/cases-worth-rs-2-76-cr-settled/801634.html,"tns ropar  seven labourers rescued  paddy crop on 500 acres was affected due to sudden increase of the water level in  the sarsa, which flooded fields in aaspur kotan, ranjit pura, manguwal diwari, sarsa nangal, kotbala, majri gujran, batarla, and dahirpur villages on saturday",lives
897,928,2019-02-01,https://www.tribuneindia.com/news/punjab/amrita-s-works-reflect-partition-pangs-prof/721877.html,"it reignited memories of the great calcutta killings of 1946 and the sufferings of millions of refugees, who flooded the city in the aftermath of partition",lives
898,929,2018-12-23,https://www.tribuneindia.com/news/punjab/on-punjab-mining-expert-s-advice-meghalaya-approaches-coal-india/702922.html,"shillong, december 21  former mining engineer and award-winning rescuer jaswant singh gill, who visited illegal coal pit in meghalaya where 15 men are stuck since december 13, has advised the state government to seek help from coal india",lives
899,930,2018-12-23,https://www.tribuneindia.com/news/punjab/on-punjab-mining-expert-s-advice-meghalaya-approaches-coal-india/702922.html, operations to rescue the trapped miners entered its 10th day on saturday,lives
900,931,2018-12-23,https://www.tribuneindia.com/news/punjab/on-punjab-mining-expert-s-advice-meghalaya-approaches-coal-india/702922.html,"— pti rescue operation enters 10th day  on december 13, around 20 miners entered the 370-foot mine at about 8 am after reaching the bottom of the pit, the miners entered the horizontal manholes often termed as ‘rat-holes’, each manhole just about fits one person to get in at a time five persons managed to climb out of the mine, one of whom has been arrested villagers say one of the diggers could have accidentally punctured the cave wall and river water gushed in immediately ",lives
901,932,2018-12-11,https://www.tribuneindia.com/news/punjab/monetary-help-pours-in-for-calligraphy-prodigy/696756.html," secretary (education) krishan kumar said more than 100 teaching, non-teaching employees and ngos had called him and expressed desire to help the child",lives
902,933,2018-09-25,https://www.tribuneindia.com/news/punjab/car-swept-away-6-of-family-rescued/658399.html,"car swept away, 6 of family rescued",lives
903,934,2018-09-25,https://www.tribuneindia.com/news/punjab/car-swept-away-6-of-family-rescued/658399.html,"tribune news service  hoshiarpur, september 24 three vehicles were swept away in the district on monday, but all persons on board were rescued",lives
904,935,2018-09-25,https://www.tribuneindia.com/news/punjab/car-swept-away-6-of-family-rescued/658399.html,the five-day-old baby was the first one to be rescued,lives
905,936,2018-09-25,https://www.tribuneindia.com/news/punjab/car-swept-away-6-of-family-rescued/658399.html,the driver lost control of the bus that had seven to eight girls on board,lives
906,937,2018-09-15,https://www.tribuneindia.com/news/punjab/staff-seek-exemption-from-poll-duty/653177.html, teachers in many districts alleged that they had to suffer due to the poll-related duties as they had to attend two rehearsals on their off days,lives
907,938,2018-07-28,https://www.tribuneindia.com/news/punjab/how-ait-scam-fell-flat-after-a-decade/627817.html," it calculated the entire costing and earning of veer coloniser and builders private limited, amritsar, in purchasing, developing and selling 32.1 acres of ‘controversial’ land exempted from acquisition",lives
908,939,2018-07-28,https://www.tribuneindia.com/news/punjab/how-ait-scam-fell-flat-after-a-decade/627817.html," trashing the charge of causing rs 60-crore loss to the ait through the development of veer enclave, the vb observed that the private developer not only benefitted the farmers, whose land it purchased at a higher rate than offered by the ait, but also helped the public, whom it sold residential and commercial sites at a lesser price than that offered by ait",lives
909,940,2018-07-22,https://www.tribuneindia.com/news/punjab/muktsar-dc-releases-rs-4-lakh-for-draining-out-water-from-fields/624470.html,"besides, nearly rs 7 lakh will be released within a short period under the disaster relief fund",lives
910,941,2018-06-18,https://www.tribuneindia.com/news/punjab/relief-from-dust-but-streets-flooded/607003.html,"our correspondent  abohar, june 17 rains that lashed abohar and neighbouring segments on sunday gave relief from dust, but disrupted power supply and left streets inundated",lives
911,942,2018-05-15,https://www.tribuneindia.com/news/punjab/minister-monitors-sampling-of-highway-material-in-abohar/589406.html,the state will contribute 40 per cent share in the total cost,lives
912,943,2017-11-03,https://www.tribuneindia.com/news/punjab/vacant-posts-petty-politics-bane-of-education/491513.html,"after helping his father in early-morning chores, he starts for school at 6 am",lives
913,944,2017-11-03,https://www.tribuneindia.com/news/punjab/vacant-posts-petty-politics-bane-of-education/491513.html,fazilka ‘upgraded’ schools worst-affected   the upgrade of high schools to senior secondary in august 2016 has largely been only on paper,lives
914,945,2017-11-03,https://www.tribuneindia.com/news/punjab/vacant-posts-petty-politics-bane-of-education/491513.html,"as per official sources, 21 posts of history, 20 of political science, 19 of punjabi, 10 of economics and six of biology are vacant in 68 senior secondary schools of the district",lives
915,946,2017-10-12,https://www.tribuneindia.com/news/punjab/to-ensure-green-diwali-ppcb-writes-to-dist-heads/480972.html," “last year on diwali, the peak air quality index had reached to severe quality zone of 497, which has respiratory affect on every human being",lives
916,947,2017-09-18,https://www.tribuneindia.com/news/punjab/sarhad-rolls-out-border-tourism-package/468737.html,"gs paul tribune news service amritsar, september 17 sarhad restaurant, famous for amritsari-lahori cuisine, has introduced a free-of-cost border tour package",lives
917,948,2017-08-03,https://www.tribuneindia.com/news/punjab/canal-breach-in-fazilka-fields-flooded/446349.html,"the owner of the factory, sanjeev nagpal, claimed to have suffered a loss of about rs 1.5 crore",lives
918,949,2017-07-27,https://www.tribuneindia.com/news/punjab/stubble-burning-s-too-stubborn-even-for-a-million-dollars/442924.html, progressive farmer kamaldeep singh of sultanpur lodhi says the high cost of a baler (rs 10-12 lakh) — used to make bundles of straw — is crippling,lives
919,950,2017-07-12,https://www.tribuneindia.com/news/punjab/flooded-drain-ruins-crops-relief-sought/435303.html,"nikhila pant dhawan tribune news service bathinda, july 11  the overflowing lower lasara drain has damaged crops in 450 acres in jethuke and kararwala villages of this district",lives
920,951,2017-07-12,https://www.tribuneindia.com/news/punjab/flooded-drain-ruins-crops-relief-sought/435303.html," farmers of the two villages claimed that their paddy, cotton, vegetables and fodder crops had been damaged as the water from the overflowing drain had inundated their fields and caused losses to them",lives
921,952,2017-07-02,https://www.tribuneindia.com/news/punjab/villagers-clash-over-draining-out-rainwater/430389.html,no one has suffered any serious injury,lives
922,953,2017-06-08,https://www.tribuneindia.com/news/punjab/nh-flooded-commuters-harassed/419260.html,"the rain damaged the newly constructed road at many points on the 78-km stretch, disrupting vehicular movement",lives
923,954,2017-01-13,https://www.tribuneindia.com/news/community/on-fringes-they-vie-for-space/349723.html," to contest all 117 seats, he says, means helping akalis retain power",lives
924,955,2017-01-12,https://www.tribuneindia.com/news/politics/disillusioned-with-aap-splinter-groups-out-to-redefine-political-narrative/349208.html,"to contest all 117 seats, he says, means helping akalis retain power",lives
925,956,2016-09-24,https://www.tribuneindia.com/news/community/baba-farid-mela-concludes/299904.html,"he himself entered the mine and sent out the trapped miners before he returned last, after 6 hours of the rescue operation",lives
926,957,2016-09-08,https://www.tribuneindia.com/news/community/engineer-who-saved-65-miners-in-wb-selected-for-bhagat-puran-singh-award/291880.html,"he came out last after six hours of the rescue operation, said inderjeet",lives
927,958,2016-09-04,https://www.tribuneindia.com/news/community/cong-to-move-privilege-motion-against-dy-cm/289931.html," jakhar said sukhbir had announced in the assembly that rs 6,083 crore had been allocated for urban development and the amount would help improve civic amenities in 100-150 cities and towns of punjab in the next two-three months, but no development was seen till date",lives
928,959,2016-08-29,https://www.tribuneindia.com/news/community/canal-breach-leaves-fields-flooded-in-fazilka-abohar/286941.html,"tribune reporters fazilka/abohar, august 28  the badha minor canal suffered a 20-25 feet breach here today and inundated paddy crop in five acres of land, a government school and water works building in badha village on the outskirts of fazilka town",lives
929,960,2016-08-29,https://www.tribuneindia.com/news/community/canal-breach-leaves-fields-flooded-in-fazilka-abohar/286941.html," meanwhile in abohar, incessant rainfall since saturday evening has triggered a breach in the daulatpura minor (sub canal) near the abohar-sriganganagar highway, besides affecting hundreds of houses here",lives
930,961,2016-06-28,https://www.tribuneindia.com/news/community/water-mgmt-key-to-tackling-climate-change-says-expert/258028.html,"new delhi, june 27 at a time when climate change is set to impact rice production in asia, simple water management by farmers as an adaptation strategy will minimise the damage, an expert said",lives
931,962,2016-06-27,https://www.tribuneindia.com/news/community/breach-in-fazilka-canal-floods-fields/257611.html,"agricultural plots spread over 50 acres were flooded due to a 65-foot-wide breach in a canal at theh kalandar village in fazilka district  farmers of the village said besides agricultural fields, the focal point of the village and a part of the state highway had been flooded due to the breach  the wild growth of water hyacinth has been choking a narrow bridge over the canal and causing breaches  ss dhaliwal, executive engineer, (irrigation), ferozepur division, said no damage had been caused to the standing crops and the breach was being plugged",lives
932,963,2016-06-27,https://www.tribuneindia.com/news/community/state-to-ensure-water-at-canal-tail-end-in-fazilka-abohar/257506.html,"archit watts tribune news service muktsar, june 26  the punjab government has now started making efforts to supply water at tail end of canals in abohar, fazilka areas without taking any help from rajasthan",lives
933,964,2016-05-29,https://www.tribuneindia.com/news/crime/bhagat-singh-s-grandnephew-and-aap-activist-abhitej-killed-in-mishap/243788.html," abhitej was the son of abhey sandhu, who had contested the last punjab assembly election on the ppp ticket from nawanshahr in 2012, but lost",lives
934,965,2016-01-13,https://www.tribuneindia.com/news/community/idols-of-sikh-gurus-being-sold-in-market/182978.html,"   the markets are flooded with idols costing between rs 50 and rs 1,500",lives
935,966,2015-12-01,https://www.tribuneindia.com/news/community/akal-takht-jathedar-warns-against-idols-of-sikh-gurus/165090.html,"ush({ });  costing between rs 50 and rs 1,500, these idols of sikh gurus, especially guru nanak dev, have flooded punjab’s markets",lives
936,967,2015-09-29,https://www.tribuneindia.com/news/community/60-cotton-crop-lost-punjab-offers-rs-600-cr-relief-package/139217.html,"60% cotton crop lost, punjab offers rs 600-cr relief package",lives
937,968,2015-09-29,https://www.tribuneindia.com/news/community/60-cotton-crop-lost-punjab-offers-rs-600-cr-relief-package/139217.html,"ruchika m khanna tribune news service chandigarh, september 28  faced with 60 per cent loss to cotton crop in the malwa region, the punjab government has okayed a rs 600-crore compensation package for the affected farmers",lives
938,969,2015-09-29,https://www.tribuneindia.com/news/community/60-cotton-crop-lost-punjab-offers-rs-600-cr-relief-package/139217.html, the report of a special girdawri ordered by the punjab government shows that 6.75 lakh acres under cotton crop have been affected in a whitefly attack,lives
939,970,2015-09-29,https://www.tribuneindia.com/news/community/60-cotton-crop-lost-punjab-offers-rs-600-cr-relief-package/139217.html,"ush({ });  though girdawri reports for two tehsils—gidderbaha and bathinda—are yet to come, the government has started releasing compensation to farmers to quell the disquiet among those affected",lives
940,971,2015-09-29,https://www.tribuneindia.com/news/community/60-cotton-crop-lost-punjab-offers-rs-600-cr-relief-package/139217.html,"sources said as special girdawri reports had started coming from affected districts, a decision was taken at a late night meeting yesterday to offer a rs 600-crore compensation package",lives
941,972,2015-09-29,https://www.tribuneindia.com/news/community/60-cotton-crop-lost-punjab-offers-rs-600-cr-relief-package/139217.html," till today, rs 520 crore (rs 8,000 per acre) had been sanctioned for disbursal among affected farmers",lives
942,973,2015-09-29,https://www.tribuneindia.com/news/community/60-cotton-crop-lost-punjab-offers-rs-600-cr-relief-package/139217.html," “we are also giving relief to farmers whose crop loss is between 26 and 33% (rs 2,000 per acre) from the state government’s own funds",lives
943,974,2015-09-29,https://www.tribuneindia.com/news/community/60-cotton-crop-lost-punjab-offers-rs-600-cr-relief-package/139217.html,"though the centre gives a compensation of rs 5,400 per acre under the disaster relief fund (for damage between 33-75%), punjab is giving additional rs 2,600 per acre as aid from its own kitty, in case the crop loss is between 76 and 100%",lives
944,975,2015-09-29,https://www.tribuneindia.com/news/community/60-cotton-crop-lost-punjab-offers-rs-600-cr-relief-package/139217.html,"this aims at ensuring that farmers who have suffered over 75% loss get rs 8,000 an acre as compensation,” said a senior officer",lives
945,976,2015-09-29,https://www.tribuneindia.com/news/community/60-cotton-crop-lost-punjab-offers-rs-600-cr-relief-package/139217.html,"with some of them getting compensation cheques for just rs 80-150, the government’s relief efforts are being mocked at.",lives
946,977,2015-09-03,https://www.tribuneindia.com/news/community/whitefly-eats-up-40-cotton-crop-in-fazilka/128052.html,"praful chander nagpalfazilka, september 2  about 40 per cent of the standing cotton crop has been affected by the whitefly attack in fazilka making it one of the worst-hit districts of the state",lives
947,978,2015-09-03,https://www.tribuneindia.com/news/community/whitefly-eats-up-40-cotton-crop-in-fazilka/128052.html,"official sources said out of the total 2.5 lakh acres under cotton cultivation, about 99,000 acres have been damaged partially or substantially due to the attack",lives
948,979,2015-09-03,https://www.tribuneindia.com/news/community/whitefly-eats-up-40-cotton-crop-in-fazilka/128052.html,  farmers ploughed out the completely damaged standing cotton crop in over 700 acres of land in different villages,lives
949,980,2015-09-03,https://www.tribuneindia.com/news/community/whitefly-eats-up-40-cotton-crop-in-fazilka/128052.html,"  deputy commissioner, fazilka, ravinder singh, said revenue officials had conducted a special girdawri of 700 acres of ploughed fields for providing compensation to the affected farmers",lives
950,981,2015-09-03,https://www.tribuneindia.com/news/community/whitefly-eats-up-40-cotton-crop-in-fazilka/128052.html,"“in the first phase, the temporary girdawri to assess damage on the standing crop will be conducted from september 7 to 25, followed by the final assessment of loss,” he said",lives
951,982,2015-09-03,https://www.tribuneindia.com/news/community/whitefly-eats-up-40-cotton-crop-in-fazilka/128052.html,"  such awareness camps have been held in 74 badly affected villages and shall be held in 47 more villages, said the dc",lives
952,983,2015-09-03,https://www.tribuneindia.com/news/community/whitefly-eats-up-40-cotton-crop-in-fazilka/128052.html,"  rahuvir singh of mahuana bodla village said, “the standing cotton crop in my entire 3 acres of land has been completely damaged due to the whitefly attack",lives
953,984,2015-09-03,https://www.tribuneindia.com/news/community/whitefly-eats-up-40-cotton-crop-in-fazilka/128052.html,  the cotton crop in the district has suffered 30 to 35 per cent damage due to the whitefly attack,lives
954,985,2015-08-12,https://www.tribuneindia.com/news/community/house-gets-flooded-ex-dig-sits-on-dharna/118756.html,he further alleged crops on 5 acres got damaged,lives
955,986,2015-08-12,https://www.tribuneindia.com/news/community/dy-cm-s-helpline-flooded-with-transfer-requests/118746.html,"archit watts tribune news service muktsar, august 11 the “1905” toll-free helpline number launched by deputy chief minister sukhbir badal on may 13 is flooded with transfer requests",lives
956,987,2015-08-12,https://www.tribuneindia.com/news/community/dy-cm-s-helpline-flooded-with-transfer-requests/118746.html,an executive of the helpline told the tribune that they were receiving five to six calls daily pertaining to transfer requests,lives
957,988,2015-08-12,https://www.tribuneindia.com/news/community/dy-cm-s-helpline-flooded-with-transfer-requests/118746.html,"besides, “181” helpline of the state police or whatsapp number “7696181181”, excise department helpline number “18002582580” for business community to register their grievances and suggestions has been launched",lives
958,989,2015-08-12,https://www.tribuneindia.com/news/community/dy-cm-s-helpline-flooded-with-transfer-requests/118746.html,the power department has also launched “1912” toll-free helpline number for power complaints,lives
959,990,2015-08-12,https://www.tribuneindia.com/news/community/dy-cm-s-helpline-flooded-with-transfer-requests/118746.html,the local bodies department has recently started “180018000172” helpline for municipality related complaints,lives
960,991,2015-08-11,https://www.tribuneindia.com/news/community/fields-in-20-villages-flooded/118314.html,"crops on around 11,000 acres were damaged",lives
961,992,2015-07-15,https://www.tribuneindia.com/news/community/irrigation-minister-blames-dept-poor-forecast/106823.html," however, when asked why no work was done earlier and affected farmers had alleged that corruption had led to poor cleaning work, the minister replied, “i would look into it and seek a report,” he said",lives
962,993,2015-07-14,https://www.tribuneindia.com/news/community/sirhind-choe-overflows-fields-in-100-villages-flooded/106407.html," crops on 2,000 acres damaged  patiala: crops, including paddy and vegetables, on nearly 2,000 acres in various parts of the district were damaged in heavy rain in the last two days",lives
963,994,2015-06-23,https://www.tribuneindia.com/news/community/breach-in-canal-100-acres-submerged/97302.html,ush({ });  boota singh jathedar of gobindpura village said the crop on 65 acres had been completely damaged,lives
964,995,2015-06-23,https://www.tribuneindia.com/news/community/breach-in-canal-100-acres-submerged/97302.html,"on may 11, a breach near bir talab village caused damage to cotton crops",lives
965,996,2015-06-22,https://www.tribuneindia.com/news/punjab/breach-in-sirhind-canal-water-enters-fields-houses/97053.html,"   several major breaches had been registered in the past as on may 11, a breach near bir talab village caused damage to newly sown cotton crops and also destroyed the motors and tubewells installed in the fields near the canal",lives
966,997,2015-06-22,https://www.tribuneindia.com/news/punjab/breach-in-sirhind-canal-water-enters-fields-houses/97053.html," a major breach in the canal was reported on june 7, 2012, when a 25-foot breach in the canal was reported and water had rushed into the mini-zoo and also damaged the new boundary wall of the zoo",lives
967,998,2015-06-22,https://www.tribuneindia.com/news/punjab/breach-in-sirhind-canal-water-enters-fields-houses/97053.html,"on november 8, a 30-foot wide breach in the embankment of the canal affected several persons as the water gushed into houses and hutments on the outskirts of the city",lives
968,999,2015-06-18,https://www.tribuneindia.com/news/community/act-swiftly-on-judicial-matters-state-told/95221.html," justice jain also imposed exemplary cost of rs 50,000 on the state and other respondents for non-compliance of court orders",lives
969,1000,2015-06-14,https://www.tribuneindia.com/news/community/cotton-damaged-due-to-breach-in-canal/93587.html,"tribune news servicetalwandi sabo (bathinda), june 13a 50-feet-wide breach in a canal on the outskirts of talwandi sabo damaged cotton sown in over 10 acres of land this afternoon",lives
970,1001,2015-06-12,https://www.tribuneindia.com/news/community/sewerage-issues-tall-claims-little-action-by-ruling-leaders-allege-abohar-residents/92827.html,"our correspondent   abohar, june 11 notwithstanding the tall claims made by the authorities about solving the sewerage problem in many localities, ward number 1 and 2 in abohar continue to suffer even as the people voted sad-bjp to victory once again in the civic body elections",lives
971,1002,2015-06-12,https://www.tribuneindia.com/news/community/sewerage-issues-tall-claims-little-action-by-ruling-leaders-allege-abohar-residents/92827.html," municipal council officials said the punjab water supply and sewerage board sub-divisional engineer had been asked to prepare an estimate to solve the problem of ward number 1 and 2, the sanitation inspector was also directed to visit the affected area",lives
972,1003,2015-06-09,https://www.tribuneindia.com/news/community/ruling-mps-on-job-oppn-sulks-over-fund-crunch/91378.html,"  villagers are also complaining about three basic facilities missing — a primary health centre, a veterinary hospital and a bank branch.",lives
973,1004,2015-05-20,https://www.tribuneindia.com/news/courts/no-more-needless-adjournments-says-hc/82820.html,"dismissing the appeal, justice raina asserted: “the precious time of this court cannot be squandered or reduced to a farce by keeping afloat the appeal for five years without just cause or reasonable justification",lives
974,1005,2015-05-15,https://www.tribuneindia.com/news/community/investors-drive-a-hard-bargain-may-get-it/80558.html,"but the government, probably to avoid itself an embarrassment, is allowing extensions and concessions by simply asking the developers to contribute towards the cancer relief fund (up to rs50 lakh)",lives
975,1006,2015-02-28,https://www.tribuneindia.com/news/punjab/punjab-entrepreneurs-say-budget-has-no-goodies-for-sports-cycle-industry/48015.html," punjab's industry particularly msme sector had pinned big hopes from the union budget 2015-16, presented by finance minister arun jaitley on saturday, for announcing industry friendly steps to provide relief to old and cottage industry from the onslaught of cheap imports as well as reducing excise duty for enabling it to face stiff competition",lives
976,1007,2015-02-27,https://www.tribuneindia.com/news/community/farmers-threaten-to-launch-stir-over-canal-leakage/47312.html," the memorandum, also signed by former punjab agriculture minister chaudhary radha krishan and kamla devi, sarpanch of khuikhera village, said at least 1,000 acres of agriculture land had been affected by waterlogging near the canal",lives
977,1008,2015-02-27,https://www.tribuneindia.com/news/community/farmers-threaten-to-launch-stir-over-canal-leakage/47312.html," the executive engineer of the drainage construction division, ferozepur, had prepared a project amounting to rs 250.15 lakh for constructing sub-surface drainage system for khuikhera village confirming that the area was badly affected by waterlogging",lives
978,1009,2015-02-05,https://www.tribuneindia.com/news/punjab/vvip-visits-fail-to-provide-succour-to-cancer-village/38139.html," after finding out that 16 per cent of the population in mari mustafa is infected with hepatitis c (hcv), a chronic liver disease, and a large number of residents in the village are suffering from cancer, the village residents were flooded with “solace and sympathy” two months ago as political leaders made a beeline for mari mustafa",lives
979,1010,2015-02-05,https://www.tribuneindia.com/news/punjab/vvip-visits-fail-to-provide-succour-to-cancer-village/38139.html," instead of providing the affected residents treatment or holding a hepatitis c and cancer detection camp in the past two months, on world cancer day today the health department organised a camp to create awareness about the diseases, said gurtej singh, a resident of mari mustafa",lives
980,1011,2015-02-05,https://www.tribuneindia.com/news/punjab/vvip-visits-fail-to-provide-succour-to-cancer-village/38139.html," besides two deaths due to cancer in his family, there are four other members suffering with hepatitis c in gurtej’s family",lives
981,1012,2015-02-03,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html,hc sets 3-month deadline on plea for flats by ’84 riot victims,lives
982,1013,2015-02-03,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html,"saurabh malik tribune news service chandigarh, february 2  more than 30 years after they were displaced, 1984 riot victims are still struggling for a roof of their own",lives
983,1014,2015-02-03,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html," describing themselves as 1984 riot victims, the petitioners claimed that they had even been issued red cards by the state of punjab",lives
984,1015,2015-02-03,https://www.tribuneindia.com/news/courts/hc-sets-3-month-deadline-on-plea-for-flats-by-84-riot-victims/37255.html,"earlier also, the high court in march 2013 had set a two-month deadline for the state of punjab and its functionaries to redress the grievance of 1984 riot victims for handing over the possession of lig flats",lives
985,1016,2014-11-04,https://www.tribuneindia.com/news/punjab/breach-in-canal-floods-250-acres-farmers-demand-compensation/5300.html," those who had recently sown wheat in their fields have suffered a loss of rs 4,000 per acre",lives
986,1017,2014-11-04,https://www.tribuneindia.com/news/punjab/breach-in-canal-floods-250-acres-farmers-demand-compensation/5300.html,"some farmers in kera bhaika village have suffered a loss of rs 50,000 as their paddy crop was submerged",lives
987,1018,2014-11-04,https://www.tribuneindia.com/news/punjab/breach-in-canal-floods-250-acres-farmers-demand-compensation/5300.html,"they have lost more than rs 4,000 per acre",lives
988,1019,2014-11-04,https://www.tribuneindia.com/news/punjab/breach-in-canal-floods-250-acres-farmers-demand-compensation/5300.html," the government should provide a compensation of rs 5,000 per acre to the affected farmers while those who lost their paddy crop should be given rs 50,000",lives
989,1020,2019-09-09,https://www.tribuneindia.com/news/punjab/4-booked-for-damaging-sdm-s-car/829763.html,4 booked for damaging sdm’s car,lives
990,1021,2019-09-06,https://www.tribuneindia.com/news/punjab/speed-up-work-on-corridor-says-ex-minister/828400.html,"it is reported that floods have cost the state rs 2,000 crore",lives
991,1022,2019-07-11,https://www.tribuneindia.com/news/punjab/india-fully-committed-to-kartapur-sahib-corridor-says-mea-over-pakistan-s-allegations/800554.html,the total cost of the project is rs 177.5 crore,lives
992,1023,2019-07-03,https://www.tribuneindia.com/news/punjab/illegal-mining-poses-threat-to-electricity-supply-in-150-villages/796179.html,it is apprehended that these towers with damaged foundations can be washed away during the monsoon and plunge nearly 150 villages into the dark,lives
993,1024,2019-07-03,https://www.tribuneindia.com/news/punjab/illegal-mining-poses-threat-to-electricity-supply-in-150-villages/796179.html,"he said two new towers would be set up, one each on both sides of the river, so that the flooding of the river does not damages the towers",lives
994,1025,2019-02-25,https://www.tribuneindia.com/news/punjab/start-relining-of-canals-before-ls-polls-ngo/734246.html,"the centre had claimed that the projects would help address the problem of flooding in 84,800 hectares in muktsar, faridkot, ferozepur and fazilka",lives
995,1026,2019-02-25,https://www.tribuneindia.com/news/punjab/start-relining-of-canals-before-ls-polls-ngo/734246.html,"finance minister arun jaitley had said the projects would help improve irrigation in 98,739 hectares in rajasthan and 69,086 hectares in punjab",lives
996,1027,2018-09-26,https://www.tribuneindia.com/news/punjab/centre-grants-rs-825-crore-for-relining-of-sirhind-and-rajasthan-feeder-canals/659137.html," a government statement said the projects would help address the problem of flooding in 84,800 hectare of land in muktsar, faridkot and ferozpur districts in southwest punjab",lives
997,1028,2018-09-26,https://www.tribuneindia.com/news/punjab/centre-grants-rs-825-crore-for-relining-of-sirhind-and-rajasthan-feeder-canals/659137.html," the statement said the projects would help improve irrigation in 98,739 hectares of land in rajasthan and 69,086 hectares in punjab",lives
998,1029,2018-09-26,https://www.tribuneindia.com/news/punjab/no-excess-water-to-be-released-from-pong-dam/658851.html,"the revenue, rehabilitation and disaster management department has set up a five-member state disaster response cell to monitor the situation",lives
999,1030,2018-07-05,https://www.tribuneindia.com/news/punjab/rain-pours-misery-in-malwa-5-dead/615378.html,"while one electricity tower fell in the fields, the other got partially damaged, disrupting the power supply",lives
1000,1031,2018-07-05,https://www.tribuneindia.com/news/punjab/rain-pours-misery-in-malwa-5-dead/615378.html," meanwhile, the district administration announced a relief of rs 1 lakh each to the next of kin of deceased",lives
1001,1032,2018-05-21,https://www.tribuneindia.com/news/punjab/shahkot-public-issues-take-a-backseat-amid-mud-slinging/592362.html,"deepkamal kaur tribune news service jalandhar, may 20  amid allegations and counter-allegations between the two main parties, the sad and the congress, the real issues affecting residents of the bypoll-bound shahkot assembly constituency seem to have taken a backseat",lives
1002,1033,2018-05-21,https://www.tribuneindia.com/news/punjab/shahkot-public-issues-take-a-backseat-amid-mud-slinging/592362.html,"farmers rue that despite huge damage, no one bothered to assess their loss or given any assurance to them for providing relief",lives
1003,1034,2018-05-21,https://www.tribuneindia.com/news/punjab/shahkot-public-issues-take-a-backseat-amid-mud-slinging/592362.html," vicky bajwa of bajwa kalan village, 10 km from roopewal, said: “muskmelon growers here have been badly affected",lives
1004,1035,2018-05-21,https://www.tribuneindia.com/news/punjab/shahkot-public-issues-take-a-backseat-amid-mud-slinging/592362.html,"muskmelon growers’ plight  the constituency houses roopewal, one of the largest muskmelon markets in asia, which has lost almost all its fruit this year after the recent hailstorm",lives
1005,1037,2016-10-04,https://www.tribuneindia.com/news/community/on-visit-to-border-villages-badal-comes-under-fire/304559.html," badal first visited tindiwala village, situated along the zero line, to take stock of the situation in the aftermath of surgical strikes and the subsequent evacuation of border villages",lives
1006,1038,2016-07-12,https://www.tribuneindia.com/news/community/pontoon-gates-to-rid-harike-wetland-of-silt/264585.html,"varinder singh tribune news service chandigarh, july 11 the solution to silt accumulation in harike lake — the largest wetland in north india — is finally in sight with the help of pontoon gates",lives
1007,1039,2016-07-12,https://www.tribuneindia.com/news/community/pontoon-gates-to-rid-harike-wetland-of-silt/264585.html, rust had damaged the old gates that these could not be removed for over six decades,lives
1008,1040,2016-03-26,https://www.tribuneindia.com/news/community/punjabi-restaurateur-going-great-guns-in-ghana/213441.html," “i did not meet the women but we were told that the food that was supplied to us was brought by the association and their leader is the one who owns the kohinoor restaurants,” ama konadu, one of the victims who received the support, said",lives
1009,1041,2016-01-30,https://www.tribuneindia.com/news/community/after-iit-m-mohali-turns-to-pec-to-check-waterlogging/189677.html," the areas affected are phase 3b1, 3b2, 4, 5 and 11, and sectors 70, 71 and 65-c",lives
1010,1042,2015-08-28,https://www.tribuneindia.com/news/community/breach-in-ropar-thermal-plant-channel/125408.html,"while the power generation was stopped at one of the units, farmers in the affected villages of ranjitpura, avankot and aaspur said their crops worth lakhs of rupees had been hit due to the leakage of hot water from the channel",lives
1011,1043,2015-07-16,https://www.tribuneindia.com/news/punjab/haryana-not-letting-us-tame-ghaggar-govt/107290.html,"the canal was built in 2007 at a cost of rs 400 crore, but it couldn’t be put to use",lives
1012,1044,2015-05-28,https://www.tribuneindia.com/news/community/mps-allocate-funds-but-fail-to-lobby-for-state-s-interests/86280.html,"       patiala dharamvira gandhi (aap)     questions asked: 15 mplad funds utilised: rs 5 crore attendance: 70%    initiatives taken  bagged rs 1,720-crore project for electrification of rajpura-bathinda rail track got six out of nine wildlife sanctuaries fenced instrumental in getting patiala chosen as a smart city disbursed rs 18 lakh from pmo relief fund among poor patients sanctioned rs 20 lakh for nabha fire brigade   unkept promises  failed to take any measure to tame the ghaggar failed to connect rajpura with chandigarh via rail couldn’t provide 40% of the city population access to potable water  dr dharamvira gandhi, who is a reputed cardiologist, was the leader of the aam aadmi party in parliament till about a month ago",lives
